Venue,City,State,ZipCode,Adjusted Capacity
PBR Louisville: A Cowboy Bar,Louisville,KY,40202,150
PromoWest Pavilion at Ovation,Newport,KY,41071,7000
EKU Center for the Performing Arts,Richmond,KY,40475,2100
Louisville Palace,Louisville,KY,40202,2700
Mercury Ballroom,Louisville,KY,40202,1000
Paramount Arts Center - KY,Ashland,KY,41101,1417
Kroger Field,Lexington,KY,40502,61000
Smoothie King Center,New Orleans,LA,70113,17791
Fillmore New Orleans,New Orleans,LA,70130,2200
Cajundome,Lafayette,LA,70506,13500
Raising Canes River Center Arena,Baton Rouge,LA,70802,12000
Brookshire Grocery Arena,Bossier City,LA,71112,14400
Texas Club,Baton Rouge,LA,70806,1000
Riverdome At Horseshoe Casino,Bossier City,LA,71111,1300
Sams Town Hotel and Casino Shreveport,Shreveport,LA,71101,1100
Golden Nugget - Lake Charles,Lake Charles,LA,70601,2500
Caesars Superdome,New Orleans,LA,70112,74295
Metropolitan Nightclub - New Orleans,New Orleans,LA,70130,1100
Orpheum Theatre - New Orleans,New Orleans,LA,70112,1780
Republic New Orleans,New Orleans,LA,70130,1000
Saenger Theatre-LA,New Orleans,LA,70116,2600
Varsity Theatre Baton Rouge,Baton Rouge,LA,70802,800
L'Auberge Du Lac Casino and Resort,Lake Charles,LA,70601,1400
House of Blues New Orleans,New Orleans,LA,70130,1000
TD Garden,Boston,MA,2114,17565
Leader Bank Pavilion,Boston,MA,2210,5000
Paradise Rock Club,Boston,MA,2215,800
House of Blues Boston,Boston,MA,2215,2400
Wang Theatre,Boston,MA,2116,3500
Xfinity Center - MA,Mansfield,MA,2048,19900
Agganis Arena,Boston,MA,2215,7200
Roadrunner,Boston,MA,2135,3500
DCU Center,Worcester,MA,1608,14800
Topsfield Fair Arena,Topsfield,MA,1983,1350
Indian Ranch,Webster,MA,1570,3000
Cape Cod Melody Tent,Hyannis,MA,2601,2300
The Grand Boston,Boston,MA,2210,800
Big Night Live,Boston,MA,2210,1500
Tsongas Center,Lowell,MA,1852,6496
